id,deptID,schoolID
1,1,1
2,2,2
3,3,2
4,4,2
5,5,3
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,2
12,12,2
13,13,3
14,14,2
15,15,1
16,16,1
17,17,2
18,18,2
19,19,2
20,20,1
21,21,2
22,22,2
23,23,2
24,24,4
25,25,3
26,26,5
27,27,4
28,28,4
29,29,4
30,30,4
31,22,4
32,31,3
33,32,4
34,33,4
35,7,1
36,34,2
37,35,4
38,36,2
39,37,2
40,38,3
41,7,3
42,39,2
43,40,2
44,41,3
45,42,2
46,43,3
47,44,3
48,45,3
49,46,3
50,47,2
51,48,3
52,49,3
53,50,2
54,51,4
55,52,3
56,53,3
57,8,3
58,54,2
59,55,4
60,56,3
61,57,3
62,58,3
63,59,3
64,60,2
65,61,2
66,62,4
67,23,4
68,63,2
69,7,4
70,64,2
71,65,2
72,37,4
73,16,3
74,66,3
75,61,3
76,67,2
77,68,2
78,69,2
79,22,3
80,70,3
81,71,3
82,25,1
83,72,3
84,22,1
85,2,3
86,73,3
87,74,3
88,3,3
89,75,3
90,76,3
91,16,2
92,77,3
93,78,3
94,23,3
95,53,5
96,7,6
97,79,3
98,7,5
99,80,4
100,81,3
101,82,3
102,16,4
103,83,3
104,81,5
105,18,3
106,84,2
107,44,2
108,85,3
109,86,2
110,23,1
111,47,1
112,4,3
113,51,3
114,62,2
115,42,3
116,87,3
