id,profID,deptID
1,1,1
2,2,2
3,2,3
4,3,4
5,4,5
6,5,6
7,6,7
8,7,8
9,8,9
10,9,10
11,9,11
12,10,5
13,11,12
14,12,4
15,13,13
16,14,14
17,15,1
18,16,15
19,16,16
20,17,17
21,17,18
22,18,1
23,19,7
24,20,19
25,21,20
26,22,21
27,22,22
28,22,23
29,23,5
30,24,24
31,25,5
32,26,25
33,27,26
34,28,24
35,29,27
36,30,27
37,30,28
38,31,29
39,31,30
40,31,22
41,32,31
42,33,7
43,34,7
44,35,32
45,35,33
46,36,25
47,37,27
48,37,28
49,38,10
50,39,7
51,40,29
52,41,34
53,42,2
54,43,24
55,43,35
56,44,36
57,44,11
58,44,37
59,45,21
60,46,10
61,47,38
62,48,38
63,49,7
64,50,39
65,50,22
66,51,40
67,52,4
68,53,1
69,54,41
70,55,7
71,56,42
72,57,43
73,58,27
74,59,10
75,59,11
76,60,15
77,61,21
78,62,14
79,63,24
80,64,44
81,65,45
82,66,46
83,67,14
84,67,3
85,67,47
86,67,22
87,67,23
88,68,14
89,69,26
90,70,4
91,71,25
92,72,48
93,73,49
94,74,50
95,75,20
96,76,40
97,76,22
98,77,17
99,78,4
100,79,50
101,80,4
102,81,7
103,82,24
104,83,51
105,84,27
106,85,9
107,85,47
108,86,32
109,86,33
110,87,13
111,88,20
112,89,20
113,90,20
114,91,4
115,92,20
116,93,52
117,94,53
118,95,38
119,96,20
120,96,1
121,97,42
122,98,8
123,99,17
124,99,54
125,100,55
126,101,4
127,102,56
128,103,20
129,104,7
130,105,6
131,106,1
132,107,1
133,108,57
134,109,50
135,110,58
136,111,12
137,112,1
138,113,13
139,114,7
140,115,38
141,116,42
142,117,7
143,118,26
144,119,20
145,120,39
146,120,54
147,121,6
148,122,59
149,123,36
150,124,25
151,125,40
152,125,18
153,125,22
154,126,6
155,127,36
156,128,8
157,129,20
158,130,1
159,131,1
160,132,41
161,133,1
162,134,19
163,135,60
164,135,18
165,135,22
166,136,6
167,136,3
168,136,61
169,137,17
170,138,15
171,139,32
172,140,10
173,141,32
174,142,39
175,143,1
176,144,27
177,144,28
178,144,62
179,144,23
180,145,4
181,146,7
182,147,1
183,148,63
184,149,1
185,150,6
186,151,7
187,152,51
188,153,27
189,154,4
190,155,4
191,155,64
192,156,50
193,157,31
194,158,38
195,159,10
196,160,20
197,161,53
198,162,1
199,163,24
200,164,65
201,165,32
202,166,17
203,167,65
204,167,3
205,168,1
206,169,55
207,170,57
208,171,24
209,172,6
210,173,13
211,174,1
212,175,36
213,176,29
214,176,37
215,177,32
216,178,16
217,179,32
218,180,4
219,180,65
220,181,66
221,182,61
222,183,40
223,183,67
224,184,51
225,185,65
226,185,68
227,185,69
228,186,44
229,187,1
230,188,50
231,189,65
232,189,18
233,189,22
234,190,50
235,191,7
236,192,42
237,193,40
238,194,8
239,195,1
240,196,22
241,197,4
242,197,18
243,198,49
244,199,55
245,200,50
246,201,15
247,202,39
248,203,55
249,204,1
250,205,42
251,206,2
252,206,3
253,206,61
254,207,15
255,208,42
256,208,67
257,209,50
258,210,39
259,210,47
260,211,7
261,212,65
262,212,68
263,212,69
264,213,7
265,214,15
266,215,2
267,216,8
268,217,20
269,218,15
270,219,2
271,220,4
272,221,50
273,222,39
274,223,1
275,224,39
276,225,6
277,226,12
278,227,55
279,228,2
280,228,3
281,229,70
282,230,71
283,231,4
284,231,18
285,231,68
286,232,39
287,233,36
288,233,11
289,234,40
290,235,32
291,236,8
292,237,65
293,238,14
294,239,25
295,240,34
296,241,1
297,242,25
298,243,10
299,244,63
300,245,9
301,246,1
302,247,42
303,248,1
304,249,50
305,250,55
306,250,62
307,251,1
308,252,1
309,253,72
310,254,15
311,254,22
312,255,29
313,255,30
314,256,1
315,257,9
316,257,22
317,258,49
318,259,57
319,260,65
320,260,3
321,260,22
322,261,4
323,262,13
324,263,1
325,264,27
326,264,28
327,265,41
328,266,4
329,266,18
330,266,22
331,267,2
332,268,10
333,268,11
334,269,1
335,270,50
336,271,17
337,271,18
338,271,47
339,272,5
340,273,40
341,273,67
342,274,31
343,275,2
344,276,2
345,277,20
346,278,19
347,279,14
348,280,32
349,280,33
350,281,5
351,282,65
352,283,20
353,284,32
354,285,40
355,286,50
356,287,59
357,288,63
358,289,36
359,289,11
360,290,73
361,291,7
362,292,49
363,293,42
364,294,15
365,295,10
366,296,4
367,297,12
368,297,18
369,298,1
370,299,74
371,300,22
372,301,65
373,301,3
374,301,18
375,302,51
376,303,66
377,304,12
378,305,50
379,306,15
380,307,1
381,308,22
382,309,2
383,310,1
384,311,15
385,312,14
386,312,23
387,313,4
388,314,2
389,315,15
390,316,1
391,317,51
392,318,4
393,319,42
394,320,72
395,321,34
396,322,24
397,323,56
398,324,17
399,325,15
400,326,44
401,327,5
402,328,14
403,329,59
404,330,3
405,331,29
406,332,14
407,333,10
408,334,1
409,335,55
410,336,40
411,337,65
412,338,20
413,339,4
414,340,39
415,340,18
416,341,7
417,342,75
418,343,29
419,344,9
420,345,20
